Rank (2018-19),School,District,Address,City,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2018-19),Average Standard Score (2017-18),Rank (2017-18),SchoolDigger Star Rating
1,Benjamin Banneker High School,District of Columbia Public Schools,800 Euclid St. NW,Washington,20001,District Of Columbia,(202) 671-6320,09,12,Yes,No,482,30,16,75.1%,0.2%,2.9%,17.6%,0.0%,1.7%,2.5%,99.5,98.2,1,5
2,School Without Walls High School,District of Columbia Public Schools,2130 G St. NW,Washington,20037,District Of Columbia,(202) 645-9690,09,12,No,No,592,37,16,29.1%,0.2%,7.3%,11.5%,0.0%,4.4%,47.6%,91.6,92.4,2,5
3,Washington Latin PCS - Upper School,Washington Latin PCS,5200 2nd Street NW,Washington,20011,District Of Columbia,(202) 723-1171,09,12,No,Yes,328,37.8,8.6,43.6%,0.0%,4.3%,9.5%,0.0%,3.0%,39.6%,80,91.3,3,5
4,McKinley Technology High School,District of Columbia Public Schools,151 T St. NE,Washington,20002,District Of Columbia,(202) 281-3950,09,12,Yes,No,633,43.5,14.5,83.7%,0.6%,0.9%,11.5%,0.2%,1.1%,1.9%,79.6,78.3,5,5
5,Thurgood Marshall Academy PCS,Thurgood Marshall Academy PCS,2427 Martin Luther King Jr Av,Washington,20020,District Of Columbia,(202) 563-6862,09,12,Yes,Yes,392,35,11.2,98.0%,0.0%,0.0%,1.8%,0.0%,0.3%,0.0%,72.3,60.4,8,4
6,Woodrow Wilson High School,District of Columbia Public Schools,3950 Chesapeake St. NW,Washington,20016,District Of Columbia,(202) 282-0120,09,12,No,No,1796,117,15.3,30.8%,0.2%,6.2%,21.2%,0.6%,4.2%,36.7%,68.5,63.3,7,4
7,Basis Dc Pcs,Basis Dc Pcs,410 8th Street NW,Washington,20004,District Of Columbia,(202) 803-6490,05,12,No,Yes,637,46.7,13.6,33.8%,0.6%,7.4%,8.6%,0.2%,9.1%,40.3%,67.4,90.8,4,4
8,KIPP DC - College Preparatory PCS,KIPP Dc Pcs,1405 Brentwood Parkway NE,Washington,20002,District Of Columbia,(202) 678-2527,09,12,Yes,Yes,802,76,10.5,99.1%,0.0%,0.1%,0.7%,0.0%,0.0%,0.0%,64.1,45.9,10,4
9,Duke Ellington School of the Arts,District of Columbia Public Schools,3500 R St. NW,Washington,20007,District Of Columbia,(202) 282-0123,09,12,No,No,545,4,136.2,72.1%,0.4%,1.5%,10.8%,0.2%,4.2%,10.8%,63.8,65.4,6,4
10,Friendship PCS - Technology Preparatory High School,Friendship PCS,2705 Martin Luther King Jr Av,Washington,20032,District Of Columbia,(202) 552-5700,09,12,Yes,Yes,270,35,7.7,99.3%,0.0%,0.0%,0.7%,0.0%,0.0%,0.0%,52.8,,,4
11,Columbia Heights Education Campus,District of Columbia Public Schools,3101 16th St. NW,Washington,20010,District Of Columbia,(202) 939-7700,06,12,No,No,1320,105.5,12.5,32.3%,0.0%,1.4%,64.2%,0.2%,0.9%,0.9%,45.2,42.5,11,4
12,Paul PCS - International High School,Paul PCS,5800 8th Street NW,Washington,20011,District Of Columbia,(202) 291-7499,09,12,Yes,Yes,466,52.7,8.8,62.0%,0.0%,0.6%,37.3%,0.0%,0.0%,0.0%,43.6,35,14,3
13,Capital City PCS - High School,Capital City PCS,100 Peabody Street NW,Washington,20011,District Of Columbia,(202) 808-9800,09,12,Yes,Yes,335,36.1,9.2,38.8%,0.0%,2.7%,55.5%,0.3%,1.2%,1.5%,40.7,56.3,9,3
14,Idea Pcs,Idea Pcs,1027 45th Street NE,Washington,20019,District Of Columbia,(202) 399-4750,09,12,Yes,Yes,327,37,8.8,96.6%,0.3%,0.0%,2.8%,0.0%,0.0%,0.3%,39.3,36.6,13,3
15,Richard Wright PCS for Journalism and Media Arts,Richard Wright PCS for Journalism and Media Arts,475 School Street SW,Washington,20024,District Of Columbia,(202) 388-1011,08,12,Yes,Yes,299,25,11.9,98.0%,0.0%,0.0%,1.3%,0.0%,0.0%,0.7%,39,38.6,12,3
16,Phelps Architecture Construction and Engineering High School,District of Columbia Public Schools,704 26th St. NE,Washington,20002,District Of Columbia,(202) 729-4360,09,12,Yes,No,265,31,8.5,94.3%,0.0%,0.0%,4.5%,0.0%,0.4%,0.8%,36.6,30.6,18,3
17,E.L. Haynes PCS - High School,E.L. Haynes PCS,4501 Kansas Avenue NW,Washington,20011,District Of Columbia,(202) 667-4446,09,12,Yes,Yes,436,37,11.7,37.8%,1.6%,1.1%,55.0%,0.7%,1.6%,2.1%,35.7,28.8,20,3
18,Cesar Chavez Public Charter Schools for Public Policy,Cesar Chavez PCS for Public Policy,3701 Hayes Street NE,Washington,20019,District Of Columbia,(202) 398-2230,06,12,Yes,Yes,350,29.5,11.8,94.9%,0.0%,0.0%,4.6%,0.3%,0.3%,0.0%,34.8,34.6,15,2
19,National Collegiate Preparatory PCHS,National Collegiate Preparatory PCHS,4600 Livingston Rd SE,Washington,20032,District Of Columbia,(202) 832-7737,09,12,Yes,Yes,252,27,9.3,99.6%,0.0%,0.0%,0.4%,0.0%,0.0%,0.0%,33,31.8,17,2
20,Eastern High School,District of Columbia Public Schools,1700 East Capitol St. NE,Washington,20003,District Of Columbia,(202) 698-4500,09,12,Yes,No,744,57.5,12.9,97.6%,0.1%,0.1%,1.2%,0.3%,0.1%,0.5%,32.8,33.6,16,2
21,Friendship PCS - Collegiate Academy,Friendship PCS,4095 Minnesota Avenue NE,Washington,20019,District Of Columbia,(202) 396-5500,09,12,Yes,Yes,553,47,11.7,98.7%,0.0%,0.0%,1.1%,0.0%,0.0%,0.2%,30.1,28.5,21,2
22,SEED PCS of Washington DC,Seed Pcs,4300 C Street SE,Washington,20019,District Of Columbia,(202) 248-7773,09,12,Yes,Yes,284,37,7.6,97.9%,0.0%,0.0%,1.1%,0.4%,0.4%,0.4%,30,29,19,2
23,Roosevelt High School,District of Columbia Public Schools,4301 13th St. NW,Washington,20011,District Of Columbia,(202) 576-6130,09,12,Yes,No,645,60,10.7,49.0%,0.0%,0.6%,49.3%,0.0%,0.6%,0.5%,29.1,27.5,23,2
24,Dunbar High School,District of Columbia Public Schools,101 N St. NW,Washington,20001,District Of Columbia,(202) 698-3762,09,12,Yes,No,667,49.5,13.4,95.7%,0.0%,0.4%,3.1%,0.1%,0.3%,0.3%,28.9,26.6,25,1
25,Anacostia High School,District of Columbia Public Schools,1601 16th St. SE,Washington,20020,District Of Columbia,(202) 698-2155,09,12,Yes,No,296,44,6.7,97.3%,0.0%,0.0%,2.4%,0.0%,0.3%,0.0%,27.9,24.8,26,1
26,Ballou High School,District of Columbia Public Schools,3401 4th St. SE,Washington,20032,District Of Columbia,(202) 645-3400,09,12,Yes,No,650,69,9.4,98.5%,0.0%,0.0%,1.4%,0.0%,0.0%,0.2%,26.8,23.5,29,1
27,H.D. Woodson High School,District of Columbia Public Schools,540 55th St. NE,Washington,20019,District Of Columbia,(202) 939-2030,09,12,Yes,No,455,47,9.6,97.1%,0.2%,0.0%,2.4%,0.0%,0.0%,0.2%,26.6,28.1,22,1
28,Cardozo Education Campus,District of Columbia Public Schools,1200 Clifton St. NW,Washington,20009,District Of Columbia,(202) 673-7385,06,12,Yes,No,746,76,9.8,45.6%,0.0%,1.9%,51.3%,0.1%,0.3%,0.8%,26.4,27.1,24,1
29,Coolidge High School,District of Columbia Public Schools,6315 5th St. NW,Washington,20011,District Of Columbia,(202) 671-6080,09,12,Yes,No,327,34,9.6,76.1%,0.0%,0.3%,23.2%,0.0%,0.0%,0.3%,26.1,24.2,27,1
30,Roosevelt STAY High School,District of Columbia Public Schools,4301 13th St. NW,Washington,20011,District Of Columbia,(202) 576-8399,09,12,No,No,426,21.7,19.5,47.7%,0.0%,0.2%,50.7%,0.0%,0.0%,1.4%,23.1,20.2,32,0
31,Maya Angelou PCS - High School,Maya Angelou PCS,5600 East Capitol Street NE,Washington,20019,District Of Columbia,(202) 379-4335,09,12,Yes,Yes,201,20.2,9.9,98.0%,0.0%,0.0%,2.0%,0.0%,0.0%,0.0%,22.7,24,28,0
32,Washington Metropolitan High School,District of Columbia Public Schools,300 Bryant St NW,Washington,20001,District Of Columbia,(202) 939-3610,07,12,Yes,No,136,21,6.4,94.9%,0.7%,0.0%,3.7%,0.0%,0.7%,0.0%,21.7,,,0